geoId	 Municipal	 Department	 popMen	 popWomen	 popTotal	 popDensity	 geometry	 totalHomicides	 homicideRate
1010	 SAN ANTONIO	 INTIBUC	 2706	 2952	 5658	 56.0036	 {u'geometry': {u'type': u'Polygon', u'coordinates': [[[-88.426295, 13.953224], [-88.432352, 13.949691], [-88.419586, 13.945734], [-88.416385, 13.932809], [-88.433625, 13.93241], [-88.448412, 13.915166], [-88.45607, 13.915525], [-88.456346, 13.893488], [-88.466117, 13.891502], [-88.47897, 13.869534], [-88.486115, 13.865716], [-88.484129, 13.862611], [-88.491784, 13.860871], [-88.496332, 13.868771], [-88.491293, 13.877764], [-88.505462, 13.908388], [-88.511375, 13.912583], [-88.506396, 13.922992], [-88.507117, 13.942165], [-88.49794, 13.950899], [-88.499583, 13.964947], [-88.492115, 13.963308], [-88.489718, 13.973563], [-88.47678, 13.979694], [-88.480993, 13.991844], [-88.469003, 13.995513], [-88.462304, 14.008694], [-88.444829, 14.010269], [-88.43546, 14.019309], [-88.440977, 14.002028], [-88.428268, 13.984085], [-88.427417, 13.977729], [-88.43249, 13.972681], [-88.413543, 13.966545], [-88.420402, 13.954573], [-88.426295, 13.953224]]]}}	 1	 17.7	 
1012	 SAN JUAN	 INTIBUC	 9159	 8658	 17817	 49.5176	 {u'geometry': {u'type': u'Polygon', u'coordinates': [[[-88.434393, 14.365517], [-88.440587, 14.367341], [-88.45229, 14.362567], [-88.488694, 14.390148], [-88.499914, 14.406586], [-88.494485, 14.4129], [-88.503224, 14.434445], [-88.498086, 14.450149], [-88.502659, 14.453444], [-88.473131, 14.472244], [-88.449743, 14.479003], [-88.430799, 14.473119], [-88.386844, 14.474993], [-88.374963, 14.480066], [-88.359416, 14.466297], [-88.368647, 14.449814], [-88.333657, 14.428633], [-88.338758, 14.412404], [-88.362303, 14.387025], [-88.389652, 14.37544], [-88.384008, 14.372776], [-88.388447, 14.365717], [-88.382094, 14.361539], [-88.386798, 14.356006], [-88.419136, 14.352999], [-88.422754, 14.348066], [-88.426661, 14.362948], [-88.434393, 14.365517]]]}}	 6	 33.7	 
1013	 SAN MARCOS DE LA SIERRA	 INTIBUC	 5201	 4376	 9577	 45.3938	 {u'geometry': {u'type': u'Polygon', u'coordinates': [[[-88.278717, 14.177707], [-88.192797, 14.174431], [-88.165345, 14.183146], [-88.164939, 14.172349], [-88.154383, 14.164516], [-88.154386, 14.16023], [-88.171041, 14.142124], [-88.183055, 14.137558], [-88.197764, 14.11133], [-88.202683, 14.110545], [-88.205623, 14.101716], [-88.217655, 14.097057], [-88.22423, 14.083918], [-88.227434, 14.087692], [-88.232575, 14.084928], [-88.247774, 14.087624], [-88.256123, 14.073756], [-88.270879, 14.06494], [-88.280791, 14.095168], [-88.317735, 14.106768], [-88.317017, 14.118948], [-88.323554, 14.139478], [-88.319028, 14.156638], [-88.329522, 14.166422], [-88.305747, 14.174634], [-88.278717, 14.177707]]]}}	 1	 10.4	 
1014	 SAN MIGUELITO	 INTIBUC	 3859	 3612	 7471	 29.8515	 {u'geometry': {u'type': u'Polygon', u'coordinates': [[[-88.291545, 14.339121], [-88.288002, 14.332901], [-88.328866, 14.291193], [-88.340471, 14.288794], [-88.345597, 14.296977], [-88.378659, 14.296017], [-88.409449, 14.280832], [-88.422754, 14.348066], [-88.419136, 14.352999], [-88.399109, 14.352542], [-88.384585, 14.357299], [-88.382109, 14.361587], [-88.388454, 14.366], [-88.383968, 14.37268], [-88.389652, 14.37544], [-88.362303, 14.387025], [-88.338787, 14.412357], [-88.333657, 14.428633], [-88.368647, 14.449814], [-88.359416, 14.466297], [-88.300307, 14.427412], [-88.25874, 14.392342], [-88.268043, 14.378856], [-88.286591, 14.383084], [-88.303852, 14.365666], [-88.311636, 14.363582], [-88.308287, 14.354659], [-88.292845, 14.344895], [-88.291545, 14.339121]]]}}	 11	 147.2	 
1016	 YAMARANGUILA	 INTIBUC	 12040	 12376	 24417	 52.8668	 {u'geometry': {u'type': u'Polygon', u'coordinates': [[[-88.278717, 14.177707], [-88.328856, 14.169457], [-88.333991, 14.177005], [-88.321097, 14.209707], [-88.332756, 14.227562], [-88.316186, 14.229728], [-88.305186, 14.247893], [-88.295084, 14.28088], [-88.310859, 14.295132], [-88.323812, 14.291242], [-88.328866, 14.291193], [-88.328072, 14.294255], [-88.287087, 14.33443], [-88.292845, 14.344895], [-88.308287, 14.354659], [-88.311698, 14.363401], [-88.303852, 14.365666], [-88.286591, 14.383084], [-88.268043, 14.378856], [-88.259476, 14.391555], [-88.224939, 14.387739], [-88.22136, 14.384277], [-88.222989, 14.353021], [-88.206466, 14.343539], [-88.218368, 14.306134], [-88.175347, 14.254903], [-88.164036, 14.247115], [-88.161242, 14.222902], [-88.154609, 14.208174], [-88.166862, 14.189024], [-88.163673, 14.182844], [-88.181399, 14.177075], [-88.192797, 14.174431], [-88.278717, 14.177707]]]}}	 2	 8.2	 
1017	 SAN FRANCISCO DE OPALACA	 INTIBUC	 5549	 5336	 10885	 24.2904	 {u'geometry': {u'type': u'Polygon', u'coordinates': [[[-88.251689, 14.522546], [-88.238942, 14.514887], [-88.238259, 14.509692], [-88.242537, 14.496918], [-88.239078, 14.485052], [-88.245411, 14.482449], [-88.245685, 14.473843], [-88.253843, 14.469243], [-88.25128, 14.446957], [-88.245836, 14.437543], [-88.248722, 14.418953], [-88.243338, 14.405534], [-88.224939, 14.387739], [-88.259476, 14.391555], [-88.291048, 14.420366], [-88.374963, 14.480066], [-88.345084, 14.506545], [-88.34319, 14.518331], [-88.348697, 14.530337], [-88.323195, 14.568093], [-88.330603, 14.623873], [-88.347887, 14.653455], [-88.254341, 14.644154], [-88.252705, 14.626727], [-88.242085, 14.631313], [-88.232271, 14.629722], [-88.219826, 14.621515], [-88.214771, 14.62637], [-88.183828, 14.61409], [-88.190762, 14.603252], [-88.200845, 14.598054], [-88.210478, 14.595004], [-88.217222, 14.599684], [-88.218997, 14.562165], [-88.236667, 14.546377], [-88.239936, 14.53783], [-88.248924, 14.532941], [-88.251689, 14.522546]]]}}	 3	 27.6	 
102	 EL PORVENIR	 ATLNTIDA	 14033	 12852	 26886	 52.0595	 {u'geometry': {u'type': u'Polygon', u'coordinates': [[[-86.869541, 15.744635], [-86.86236, 15.713935], [-86.846605, 15.683872], [-86.850223, 15.65791], [-86.882134, 15.63493], [-86.863807, 15.61905], [-86.868955, 15.612943], [-86.883336, 15.609067], [-86.875038, 15.594367], [-86.87622, 15.588619], [-86.864838, 15.575153], [-86.865408, 15.561816], [-86.89793, 15.555203], [-86.907076, 15.560779], [-86.926805, 15.546388], [-86.98087, 15.550418], [-86.953755, 15.579503], [-86.95464, 15.590726], [-86.96676, 15.60042], [-86.959877, 15.608632], [-86.968341, 15.630217], [-86.962953, 15.638171], [-86.969777, 15.641263], [-86.96189, 15.646915], [-86.963559, 15.654042], [-86.958254, 15.655856], [-86.960765, 15.661486], [-86.967715, 15.663434], [-86.960597, 15.667955], [-86.955033, 15.696485], [-86.95963, 15.699711], [-86.972321, 15.694431], [-87.003874, 15.692886], [-87.003312, 15.703469], [-87.00915, 15.701798], [-87.007779, 15.712348], [-87.012842, 15.711727], [-87.014343, 15.716515], [-87.01072, 15.734772], [-87.013917, 15.734308], [-87.020533, 15.746941], [-87.011257, 15.753787], [-87.012074, 15.75818], [-86.999244, 15.763232], [-87.003216, 15.770893], [-86.911791, 15.755511], [-86.88303, 15.762317], [-86.883804, 15.754831], [-86.869541, 15.744635]]]}}	 22	 81.8	 
103	 ESPARTA	 ATLNTIDA	 7753	 7659	 15412	 33.6338	 {u'geometry': {u'type': u'Polygon', u'coordinates': [[[-87.199037, 15.66086], [-87.199516, 15.653493], [-87.205861, 15.653938], [-87.208832, 15.647192], [-87.215529, 15.647927], [-87.22036, 15.642243], [-87.215715, 15.634359], [-87.218153, 15.628078], [-87.209733, 15.625113], [-87.206597, 15.616237], [-87.212247, 15.614307], [-87.211384, 15.606138], [-87.217478, 15.595608], [-87.210498, 15.590894], [-87.208972, 15.575791], [-87.219031, 15.56697], [-87.216996, 15.560388], [-87.221328, 15.556479], [-87.218101, 15.547546], [-87.214822, 15.548192], [-87.210972, 15.51156], [-87.219496, 15.501405], [-87.217628, 15.490508], [-87.225212, 15.484797], [-87.224589, 15.474727], [-87.228241, 15.473063], [-87.2247, 15.465137], [-87.231514, 15.448439], [-87.222102, 15.427525], [-87.24566, 15.437498], [-87.258799, 15.434727], [-87.262716, 15.439046], [-87.27442, 15.439057], [-87.27942, 15.446915], [-87.284941, 15.447671], [-87.286677, 15.609991], [-87.267062, 15.624076], [-87.290159, 15.638309], [-87.3135, 15.635097], [-87.323853, 15.641196], [-87.325588, 15.647491], [-87.320465, 15.654132], [-87.317599, 15.649146], [-87.313172, 15.652321], [-87.315178, 15.660335], [-87.309863, 15.662444], [-87.302195, 15.688877], [-87.297263, 15.689778], [-87.295571, 15.705142], [-87.303885, 15.712463], [-87.289094, 15.722286], [-87.291786, 15.728001], [-87.285672, 15.726122], [-87.284629, 15.731134], [-87.28147, 15.727783], [-87.27973, 15.734524], [-87.285496, 15.734362], [-87.280744, 15.741201], [-87.280022, 15.737251], [-87.276736, 15.739103], [-87.278915, 15.752376], [-87.272377, 15.75602], [-87.280065, 15.754263], [-87.280738, 15.759151], [-87.275396, 15.758114], [-87.281095, 15.768814], [-87.286346, 15.76661], [-87.288585, 15.774141], [-87.294654, 15.773602], [-87.29479, 15.778434], [-87.301789, 15.781193], [-87.299582, 15.790868], [-87.304562, 15.794439], [-87.311027, 15.791484], [-87.313859, 15.795431], [-87.315282, 15.811174], [-87.320703, 15.813242], [-87.320694, 15.8244], [-87.314833, 15.828612], [-87.321473, 15.831987], [-87.219055, 15.802831], [-87.149874, 15.790612], [-87.127289, 15.781741], [-87.136581, 15.754046], [-87.134199, 15.751079], [-87.138341, 15.748394], [-87.130063, 15.732596], [-87.137157, 15.69921], [-87.143903, 15.696496], [-87.144978, 15.689184], [-87.157179, 15.675731], [-87.162263, 15.675809], [-87.160796, 15.668787], [-87.177131, 15.667483], [-87.18354, 15.657777], [-87.187889, 15.657917], [-87.188796, 15.663181], [-87.199037, 15.66086]]]}}	 11	 71.4	 
104	 JUTIAPA	 ATLNTIDA	 17469	 17498	 34967	 51.6023	 {u'geometry': {u'type': u'Polygon', u'coordinates': [[[-86.370479, 15.676353], [-86.362013, 15.675607], [-86.363357, 15.605654], [-86.382115, 15.596115], [-86.407517, 15.593401], [-86.401104, 15.573764], [-86.471992, 15.597799], [-86.480549, 15.597419], [-86.485087, 15.591822], [-86.501796, 15.591014], [-86.510699, 15.585053], [-86.51756, 15.586919], [-86.522818, 15.581627], [-86.538845, 15.592278], [-86.577234, 15.586747], [-86.637063, 15.603625], [-86.630501, 15.610209], [-86.615781, 15.613767], [-86.610639, 15.646179], [-86.616529, 15.662322], [-86.618256, 15.688025], [-86.608425, 15.69856], [-86.62604, 15.726423], [-86.611709, 15.737063], [-86.600449, 15.753812], [-86.598941, 15.798051], [-86.522148, 15.807423], [-86.502141, 15.816522], [-86.479771, 15.81023], [-86.434023, 15.780775], [-86.451051, 15.781064], [-86.44368, 15.762136], [-86.448625, 15.746003], [-86.44188, 15.723486], [-86.406551, 15.719429], [-86.394207, 15.699648], [-86.399193, 15.694369], [-86.395633, 15.679453], [-86.389111, 15.683504], [-86.382674, 15.675632], [-86.375134, 15.678884], [-86.370479, 15.676353]]]}}	 22	 62.9	 
105	 LA MASICA	 ATLNTIDA	 14143	 15109	 29252	 48.4205	 {u'geometry': {u'type': u'Polygon', u'coordinates': [[[-87.133287, 15.762747], [-87.127289, 15.781741], [-87.145514, 15.789429], [-87.092776, 15.78659], [-87.070771, 15.774109], [-87.079019, 15.769841], [-87.097963, 15.742333], [-87.102609, 15.715783], [-87.108317, 15.710404], [-87.103686, 15.704224], [-87.107621, 15.69171], [-87.09505, 15.689585], [-87.092653, 15.676998], [-87.082133, 15.682159], [-87.08429, 15.678229], [-87.076492, 15.669892], [-87.073672, 15.645172], [-87.069259, 15.642211], [-87.062071, 15.619582], [-87.0672, 15.586041], [-87.058005, 15.580476], [-87.063303, 15.573013], [-87.055561, 15.575692], [-87.061253, 15.561627], [-87.049997, 15.550349], [-87.052455, 15.535658], [-87.042529, 15.532229], [-87.04234, 15.503596], [-87.049659, 15.499122], [-87.048922, 15.487871], [-87.073452, 15.473556], [-87.091231, 15.473218], [-87.108081, 15.455977], [-87.151335, 15.459676], [-87.169248, 15.440952], [-87.17678, 15.421821], [-87.185516, 15.421285], [-87.191236, 15.427888], [-87.214885, 15.42441], [-87.229058, 15.437043], [-87.231518, 15.448288], [-87.2247, 15.465137], [-87.228241, 15.473063], [-87.224589, 15.474727], [-87.225212, 15.484797], [-87.217628, 15.490508], [-87.219496, 15.501405], [-87.210871, 15.512445], [-87.214822, 15.548192], [-87.218101, 15.547546], [-87.221328, 15.556479], [-87.216996, 15.560388], [-87.219031, 15.56697], [-87.208972, 15.575791], [-87.210498, 15.590894], [-87.217478, 15.595608], [-87.211384, 15.606138], [-87.212247, 15.614307], [-87.206598, 15.616296], [-87.209775, 15.625156], [-87.218153, 15.628078], [-87.215715, 15.634359], [-87.220326, 15.642439], [-87.211345, 15.64966], [-87.208832, 15.647192], [-87.205861, 15.653938], [-87.199516, 15.653493], [-87.19877, 15.660999], [-87.188796, 15.663181], [-87.187889, 15.657917], [-87.183601, 15.657764], [-87.177131, 15.667483], [-87.160773, 15.668802], [-87.162263, 15.675809], [-87.157179, 15.675731], [-87.144978, 15.689184], [-87.143903, 15.696496], [-87.1374, 15.698838], [-87.130065, 15.732499], [-87.138337, 15.747577], [-87.134199, 15.751079], [-87.133287, 15.762747]]]}}	 29	 99.1	 
