geoId	 Municipal	 Department	 popMen	 popWomen	 popTotal	 popDensity	 geometry	 totalHomicides	 homicideRate
1304	 COLOLACA	 LEMPIRA	 3778	 3636	 7413	 23.9666	 {u'geometry': {u'type': u'Polygon', u'coordinates': [[[-88.878553, 14.372449], [-88.879541, 14.411544], [-88.858734, 14.407402], [-88.854907, 14.39665], [-88.836213, 14.384284], [-88.805688, 14.385162], [-88.799044, 14.365335], [-88.784394, 14.350945], [-88.783218, 14.33703], [-88.801997, 14.30994], [-88.813025, 14.301913], [-88.836637, 14.298204], [-88.834818, 14.267518], [-88.856635, 14.266605], [-88.880933, 14.257254], [-88.885371, 14.258981], [-88.88892, 14.24754], [-88.896067, 14.245927], [-88.898939, 14.239694], [-88.930202, 14.266093], [-88.952481, 14.255728], [-88.950766, 14.249494], [-88.929386, 14.230149], [-88.919738, 14.207731], [-88.940829, 14.203059], [-88.970863, 14.212565], [-88.974184, 14.218949], [-88.965928, 14.228087], [-88.973389, 14.256523], [-88.965714, 14.271088], [-88.980962, 14.300605], [-88.956677, 14.311971], [-88.956103, 14.319714], [-88.947612, 14.323794], [-88.951226, 14.337025], [-88.948403, 14.341513], [-88.911167, 14.345703], [-88.888199, 14.355177], [-88.878553, 14.372449]]]}}	 5	 67.4	 
1305	 ERANDIQUE	 LEMPIRA	 7986	 7905	 15891	 38.5156	 {u'geometry': {u'type': u'Polygon', u'coordinates': [[[-88.485111, 14.151865], [-88.490694, 14.151053], [-88.496394, 14.159643], [-88.530676, 14.185066], [-88.532183, 14.205453], [-88.516814, 14.21402], [-88.529697, 14.228304], [-88.533761, 14.259793], [-88.539841, 14.271681], [-88.56236, 14.283419], [-88.54689, 14.298865], [-88.532719, 14.293114], [-88.514982, 14.300877], [-88.499961, 14.296245], [-88.466971, 14.342255], [-88.467055, 14.353041], [-88.439456, 14.36735], [-88.426661, 14.362948], [-88.41571, 14.325795], [-88.409449, 14.280832], [-88.424928, 14.25806], [-88.424107, 14.249193], [-88.383896, 14.229281], [-88.369329, 14.232332], [-88.332966, 14.227609], [-88.329834, 14.220606], [-88.369309, 14.184786], [-88.383047, 14.181593], [-88.390958, 14.185771], [-88.40712, 14.175833], [-88.412822, 14.162713], [-88.433571, 14.147663], [-88.433989, 14.135899], [-88.456776, 14.131962], [-88.471139, 14.136185], [-88.475454, 14.126774], [-88.483313, 14.123686], [-88.479832, 14.145406], [-88.485111, 14.151865]]]}}	 5	 31.5	 
1306	 GUALCINCE	 LEMPIRA	 5902	 5792	 11694	 57.1816	 {u'geometry': {u'type': u'Polygon', u'coordinates': [[[-88.601406, 14.149216], [-88.578478, 14.172723], [-88.556272, 14.175481], [-88.552227, 14.187674], [-88.556204, 14.193598], [-88.545023, 14.194011], [-88.532183, 14.205453], [-88.530676, 14.185066], [-88.496394, 14.159643], [-88.490736, 14.151084], [-88.483941, 14.151741], [-88.480206, 14.146601], [-88.485234, 14.111942], [-88.501434, 14.099794], [-88.516417, 14.099009], [-88.524516, 14.093905], [-88.529285, 14.08519], [-88.526039, 14.076171], [-88.559081, 14.097224], [-88.574439, 14.0952], [-88.584927, 14.084811], [-88.598038, 14.083312], [-88.608815, 14.073382], [-88.61905, 14.072948], [-88.618939, 14.068849], [-88.636219, 14.072394], [-88.650648, 14.08113], [-88.651914, 14.092245], [-88.659788, 14.102845], [-88.656524, 14.11453], [-88.663669, 14.123341], [-88.658305, 14.132393], [-88.660845, 14.140099], [-88.649303, 14.14249], [-88.638732, 14.154116], [-88.617539, 14.151838], [-88.612406, 14.147669], [-88.601406, 14.149216]]]}}	 3	 25.7	 
1307	 GUARITA	 LEMPIRA	 4601	 4510	 9111	 43.0793	 {u'geometry': {u'type': u'Polygon', u'coordinates': [[[-88.816049, 14.252672], [-88.81318, 14.239877], [-88.825215, 14.231006], [-88.824707, 14.221915], [-88.797082, 14.2134], [-88.790901, 14.205911], [-88.766356, 14.205382], [-88.756163, 14.192292], [-88.744582, 14.189152], [-88.749927, 14.144892], [-88.75799, 14.146361], [-88.755509, 14.188161], [-88.760374, 14.178304], [-88.771118, 14.180057], [-88.781005, 14.171313], [-88.778467, 14.175685], [-88.782413, 14.180515], [-88.792433, 14.18441], [-88.818816, 14.172066], [-88.824465, 14.182017], [-88.821138, 14.192576], [-88.829295, 14.192805], [-88.828921, 14.168041], [-88.818442, 14.148192], [-88.794469, 14.147519], [-88.79161, 14.152287], [-88.785731, 14.149337], [-88.787556, 14.132582], [-88.796546, 14.123647], [-88.794638, 14.114607], [-88.784337, 14.111331], [-88.783374, 14.104778], [-88.821553, 14.109127], [-88.831738, 14.103732], [-88.830319, 14.112894], [-88.839695, 14.13073], [-88.847473, 14.131414], [-88.849559, 14.149389], [-88.858869, 14.153038], [-88.8606, 14.172215], [-88.882026, 14.189265], [-88.900702, 14.191575], [-88.902787, 14.205536], [-88.919738, 14.207731], [-88.929439, 14.230226], [-88.952762, 14.253656], [-88.940913, 14.263531], [-88.930202, 14.266093], [-88.898854, 14.239714], [-88.896067, 14.245927], [-88.88892, 14.24754], [-88.885371, 14.258981], [-88.880933, 14.257254], [-88.856635, 14.266605], [-88.834818, 14.267518], [-88.836637, 14.298204], [-88.813777, 14.302105], [-88.797209, 14.294551], [-88.788957, 14.281167], [-88.799985, 14.264665], [-88.816049, 14.252672]]]}}	 9	 98.8	 
1309	 LA IGUALA	 LEMPIRA	 12299	 11563	 23861	 50.4877	 {u'geometry': {u'type': u'Polygon', u'coordinates': [[[-88.409642, 14.702714], [-88.412052, 14.675053], [-88.391623, 14.661139], [-88.347887, 14.653455], [-88.330475, 14.623199], [-88.354861, 14.623464], [-88.365651, 14.613888], [-88.387698, 14.609501], [-88.394647, 14.595141], [-88.401658, 14.594516], [-88.406701, 14.584364], [-88.406022, 14.547504], [-88.421352, 14.538343], [-88.440852, 14.542376], [-88.444399, 14.553114], [-88.451827, 14.553581], [-88.461696, 14.564216], [-88.473468, 14.565394], [-88.478467, 14.559015], [-88.524642, 14.570776], [-88.521021, 14.57944], [-88.537689, 14.596597], [-88.527228, 14.616903], [-88.519756, 14.621077], [-88.52955, 14.639786], [-88.526244, 14.653126], [-88.542563, 14.686061], [-88.526401, 14.706366], [-88.494996, 14.716202], [-88.495176, 14.748015], [-88.548949, 14.745122], [-88.522272, 14.798535], [-88.514176, 14.80295], [-88.516192, 14.810771], [-88.504011, 14.830255], [-88.457341, 14.783125], [-88.447348, 14.781964], [-88.445382, 14.768335], [-88.427271, 14.768322], [-88.452865, 14.751134], [-88.4477, 14.743644], [-88.44722, 14.728729], [-88.403506, 14.712495], [-88.409642, 14.702714]]]}}	 25	 104.8	 
1310	 LAS FLORES	 LEMPIRA	 5356	 5279	 10635	 90.7498	 {u'geometry': {u'type': u'Polygon', u'coordinates': [[[-88.658864, 14.737666], [-88.564728, 14.721731], [-88.586797, 14.704872], [-88.595971, 14.70744], [-88.616905, 14.688982], [-88.625814, 14.690462], [-88.617706, 14.67447], [-88.631081, 14.668051], [-88.63974, 14.656622], [-88.65416, 14.65576], [-88.662035, 14.659649], [-88.67799, 14.655459], [-88.704798, 14.63936], [-88.701775, 14.624289], [-88.708567, 14.612187], [-88.733532, 14.611496], [-88.753481, 14.642513], [-88.732553, 14.645522], [-88.716021, 14.651405], [-88.716149, 14.655081], [-88.691818, 14.656031], [-88.682588, 14.682171], [-88.66761, 14.691603], [-88.6718, 14.709629], [-88.653416, 14.717853], [-88.652928, 14.728653], [-88.658864, 14.737666]]]}}	 8	 75.2	 
1311	 LA UNION	 LEMPIRA	 7954	 7285	 15239	 112.119	 {u'geometry': {u'type': u'Polygon', u'coordinates': [[[-88.421034, 14.847894], [-88.412927, 14.834931], [-88.380348, 14.837764], [-88.364349, 14.8227], [-88.389613, 14.769092], [-88.396538, 14.767624], [-88.405174, 14.753569], [-88.43015, 14.770264], [-88.439978, 14.765667], [-88.445353, 14.768313], [-88.447369, 14.781986], [-88.457341, 14.783125], [-88.467692, 14.796266], [-88.488749, 14.811554], [-88.470505, 14.818039], [-88.455305, 14.852557], [-88.443554, 14.857654], [-88.424223, 14.853261], [-88.421034, 14.847894]]]}}	 3	 19.7	 
1312	 LA VIRTUD	 LEMPIRA	 2962	 3338	 6300	 67.1949	 {u'geometry': {u'type': u'Polygon', u'coordinates': [[[-88.667108, 14.014687], [-88.671757, 14.009528], [-88.68326, 14.011055], [-88.681533, 14.021199], [-88.690274, 14.029546], [-88.702485, 14.036077], [-88.71057, 14.035536], [-88.723626, 14.049676], [-88.739097, 14.058018], [-88.731157, 14.101776], [-88.699646, 14.118184], [-88.689116, 14.11704], [-88.660845, 14.140099], [-88.658305, 14.132393], [-88.663669, 14.123341], [-88.656524, 14.11453], [-88.659788, 14.102845], [-88.651914, 14.092245], [-88.650648, 14.08113], [-88.636219, 14.072394], [-88.644689, 14.068813], [-88.643692, 14.060956], [-88.653047, 14.057598], [-88.656773, 14.048682], [-88.653516, 14.039404], [-88.635866, 14.020813], [-88.639645, 14.017069], [-88.652548, 14.017923], [-88.662267, 14.024815], [-88.667108, 14.014687]]]}}	 2	 31.7	 
1313	 LEPAERA	 LEMPIRA	 21547	 21150	 42697	 91.7039	 {u'geometry': {u'type': u'Polygon', u'coordinates': [[[-88.522361, 14.856001], [-88.504011, 14.830255], [-88.516192, 14.810771], [-88.5142, 14.802907], [-88.522272, 14.798535], [-88.564728, 14.721731], [-88.65255, 14.734485], [-88.664289, 14.743172], [-88.659262, 14.751476], [-88.664449, 14.755312], [-88.667671, 14.778316], [-88.681034, 14.785617], [-88.676541, 14.807269], [-88.67947, 14.815903], [-88.669792, 14.836302], [-88.65415, 14.84514], [-88.657816, 14.860338], [-88.654382, 14.867389], [-88.643565, 14.867971], [-88.649455, 14.884995], [-88.639415, 14.900434], [-88.645005, 14.922999], [-88.624434, 14.919321], [-88.610893, 14.932157], [-88.613796, 14.936782], [-88.610351, 14.948006], [-88.585827, 14.938601], [-88.556241, 14.935322], [-88.5375, 14.882263], [-88.522361, 14.856001]]]}}	 27	 63.2	 
1314	 MAPULACA	 LEMPIRA	 2240	 2394	 4635	 116.1	 {u'geometry': {u'type': u'Polygon', u'coordinates': [[[-88.636219, 14.072394], [-88.619008, 14.068829], [-88.61905, 14.072948], [-88.608815, 14.073382], [-88.598038, 14.083312], [-88.584927, 14.084811], [-88.603081, 14.059994], [-88.592945, 14.037345], [-88.616788, 14.013525], [-88.627795, 14.023019], [-88.635866, 14.020813], [-88.653516, 14.039404], [-88.656767, 14.048659], [-88.653047, 14.057598], [-88.643692, 14.060956], [-88.644689, 14.068813], [-88.636219, 14.072394]]]}}	 5	 107.9	 
1315	 PIRAERA	 LEMPIRA	 6927	 6922	 13849	 62.4762	 {u'geometry': {u'type': u'Polygon', u'coordinates': [[[-88.382364, 14.050625], [-88.383342, 14.038987], [-88.403248, 14.035632], [-88.426534, 14.019344], [-88.439161, 14.018468], [-88.444829, 14.010269], [-88.462304, 14.008694], [-88.469003, 13.995513], [-88.480946, 13.991924], [-88.476723, 13.979789], [-88.489718, 13.973563], [-88.492201, 13.96326], [-88.526217, 13.983275], [-88.52576, 14.002383], [-88.519422, 14.007756], [-88.523245, 14.018313], [-88.517682, 14.023637], [-88.521986, 14.025591], [-88.523074, 14.040854], [-88.517738, 14.046541], [-88.518323, 14.054867], [-88.525921, 14.060767], [-88.52367, 14.069794], [-88.529794, 14.073265], [-88.525066, 14.077134], [-88.529284, 14.085099], [-88.527065, 14.091546], [-88.516493, 14.098987], [-88.501434, 14.099794], [-88.48632, 14.110326], [-88.483313, 14.123686], [-88.475454, 14.126774], [-88.472328, 14.135771], [-88.456776, 14.131962], [-88.433989, 14.135899], [-88.433513, 14.129116], [-88.422968, 14.120275], [-88.41415, 14.104026], [-88.407428, 14.084984], [-88.395807, 14.07382], [-88.388178, 14.074241], [-88.376605, 14.061975], [-88.382364, 14.050625]]]}}	 3	 21.7	 
1316	 SAN ANDRES	 LEMPIRA	 6948	 6802	 13750	 41.4213	 {u'geometry': {u'type': u'Polygon', u'coordinates': [[[-88.663589, 14.273981], [-88.662458, 14.282561], [-88.646879, 14.301202], [-88.653981, 14.314222], [-88.644041, 14.324725], [-88.642587, 14.334896], [-88.637295, 14.332809], [-88.630944, 14.336487], [-88.627411, 14.326289], [-88.617716, 14.321918], [-88.616847, 14.308402], [-88.587459, 14.304457], [-88.565644, 14.290163], [-88.561057, 14.281982], [-88.553534, 14.28145], [-88.539875, 14.271718], [-88.533761, 14.259793], [-88.529706, 14.228326], [-88.516601, 14.212012], [-88.53322, 14.205016], [-88.534575, 14.199964], [-88.545023, 14.194011], [-88.556204, 14.193598], [-88.552227, 14.187674], [-88.556272, 14.175481], [-88.578478, 14.172723], [-88.604815, 14.147239], [-88.638732, 14.154116], [-88.649303, 14.14249], [-88.66062, 14.140311], [-88.658919, 14.145153], [-88.662542, 14.1455], [-88.670052, 14.170804], [-88.679919, 14.175747], [-88.677151, 14.187666], [-88.687926, 14.192635], [-88.684149, 14.196933], [-88.685404, 14.205782], [-88.691122, 14.210456], [-88.686119, 14.214079], [-88.687779, 14.226447], [-88.695451, 14.23876], [-88.691649, 14.254626], [-88.681629, 14.269547], [-88.672352, 14.268378], [-88.663589, 14.273981]]]}}	 7	 50.9	 
1317	 SAN FRANCISCO	 LEMPIRA	 5178	 5466	 10644	 57.391	 {u'geometry': {u'type': u'Polygon', u'coordinates': [[[-88.323288, 14.137109], [-88.316007, 14.108612], [-88.328298, 14.104474], [-88.333739, 14.096416], [-88.327109, 14.079425], [-88.332758, 14.07535], [-88.340029, 14.078148], [-88.34533, 14.073342], [-88.351097, 14.075397], [-88.365058, 14.05285], [-88.382386, 14.044137], [-88.376584, 14.06194], [-88.388178, 14.074241], [-88.395807, 14.07382], [-88.407428, 14.084984], [-88.414205, 14.10413], [-88.422968, 14.120275], [-88.433493, 14.129085], [-88.431299, 14.131864], [-88.436325, 14.138997], [-88.433484, 14.147766], [-88.412755, 14.162793], [-88.40712, 14.175833], [-88.390958, 14.185771], [-88.383047, 14.181593], [-88.369309, 14.184786], [-88.329834, 14.220606], [-88.321106, 14.210019], [-88.33402, 14.177524], [-88.329251, 14.165671], [-88.319052, 14.15674], [-88.323288, 14.137109]]]}}	 5	 47.0	 
1318	 SAN JUAN GUARITA	 LEMPIRA	 1514	 1597	 3111	 64.4944	 {u'geometry': {u'type': u'Polygon', u'coordinates': [[[-88.75796, 14.142435], [-88.754445, 14.112997], [-88.774384, 14.102786], [-88.783374, 14.104778], [-88.784337, 14.111331], [-88.794638, 14.114607], [-88.796546, 14.123647], [-88.787556, 14.132582], [-88.785731, 14.149337], [-88.79161, 14.152287], [-88.794469, 14.147519], [-88.818442, 14.148192], [-88.828921, 14.168041], [-88.829295, 14.192805], [-88.821138, 14.192576], [-88.824465, 14.182017], [-88.818816, 14.172066], [-88.792433, 14.18441], [-88.782413, 14.180515], [-88.778467, 14.175685], [-88.781005, 14.171313], [-88.771118, 14.180057], [-88.760374, 14.178304], [-88.755509, 14.188161], [-88.75796, 14.142435]]]}}	 2	 64.3	 
1319	 SAN MANUEL COLOHETE	 LEMPIRA	 7936	 7706	 15641	 58.2431	 {u'type': u'GeometryCollection', u'geometries': [{u'type': u'Polygon', u'coordinates': [[[-88.62595, 14.416609], [-88.62845, 14.412406], [-88.619773, 14.398483], [-88.627324, 14.389377], [-88.629974, 14.376951], [-88.653598, 14.372316], [-88.665599, 14.377701], [-88.693078, 14.368864], [-88.69997, 14.393793], [-88.708944, 14.402839], [-88.710483, 14.418976], [-88.72481, 14.427806], [-88.729254, 14.437341], [-88.73712, 14.439905], [-88.739692, 14.451433], [-88.736794, 14.459043], [-88.73214, 14.460014], [-88.734073, 14.474046], [-88.723967, 14.491303], [-88.716705, 14.518735], [-88.690011, 14.52311], [-88.64833, 14.510959], [-88.632729, 14.513301], [-88.621326, 14.52094], [-88.604278, 14.518569], [-88.610665, 14.488666], [-88.635437, 14.49203], [-88.632892, 14.479538], [-88.62677, 14.473622], [-88.621179, 14.474736], [-88.603056, 14.455075], [-88.62595, 14.416609]]]}, {u'type': u'Polygon', u'coordinates': [[[-88.820254, 14.426795], [-88.796426, 14.413154], [-88.805688, 14.385162], [-88.826172, 14.403615], [-88.820254, 14.426795]]]}]}	 2	 12.8	 
1320	 SAN RAFAEL	 LEMPIRA	 7189	 6944	 14132	 100.764	 {u'geometry': {u'type': u'Polygon', u'coordinates': [[[-88.394816, 14.663476], [-88.412052, 14.675053], [-88.411041, 14.701279], [-88.40345, 14.71244], [-88.44722, 14.728729], [-88.4477, 14.743644], [-88.452865, 14.751134], [-88.427559, 14.767902], [-88.405228, 14.753564], [-88.396538, 14.767624], [-88.389613, 14.769092], [-88.377854, 14.750146], [-88.374603, 14.735555], [-88.354501, 14.719244], [-88.317312, 14.734667], [-88.320293, 14.685203], [-88.338327, 14.661735], [-88.347887, 14.653455], [-88.394816, 14.663476]]]}}	 13	 92.0	 
1321	 SAN SEBASTIAN	 LEMPIRA	 5541	 4996	 10537	 35.3003	 {u'geometry': {u'type': u'Polygon', u'coordinates': [[[-88.776366, 14.421055], [-88.749914, 14.431871], [-88.742037, 14.442887], [-88.729273, 14.437356], [-88.72481, 14.427806], [-88.710495, 14.418997], [-88.708944, 14.402839], [-88.69997, 14.393793], [-88.693125, 14.368936], [-88.676888, 14.355532], [-88.671873, 14.34199], [-88.643875, 14.341495], [-88.644041, 14.324725], [-88.65418, 14.313571], [-88.646895, 14.301519], [-88.64846, 14.295921], [-88.662313, 14.282782], [-88.666595, 14.270683], [-88.669714, 14.27308], [-88.672089, 14.268473], [-88.675954, 14.271111], [-88.683637, 14.266413], [-88.728566, 14.263861], [-88.772369, 14.28854], [-88.78451, 14.287863], [-88.788957, 14.281167], [-88.797209, 14.294551], [-88.813025, 14.301913], [-88.801997, 14.30994], [-88.783218, 14.33703], [-88.784394, 14.350945], [-88.799044, 14.365335], [-88.805688, 14.385162], [-88.796426, 14.413154], [-88.776366, 14.421055]]]}}	 4	 38.0	 
1322	 SANTA CRUZ	 LEMPIRA	 3747	 3295	 7042	 31.8143	 {u'geometry': {u'type': u'Polygon', u'coordinates': [[[-88.517949, 14.425568], [-88.501955, 14.442683], [-88.500642, 14.423769], [-88.494485, 14.4129], [-88.499914, 14.406586], [-88.488694, 14.390148], [-88.449848, 14.362451], [-88.453114, 14.35737], [-88.46707, 14.353022], [-88.466971, 14.342255], [-88.49907, 14.297274], [-88.502314, 14.29519], [-88.515048, 14.30087], [-88.532694, 14.293113], [-88.54689, 14.298865], [-88.56236, 14.283419], [-88.565644, 14.290163], [-88.587459, 14.304457], [-88.616847, 14.308402], [-88.617702, 14.321887], [-88.627429, 14.326312], [-88.627908, 14.334839], [-88.642587, 14.334896], [-88.637744, 14.342828], [-88.618823, 14.344806], [-88.585173, 14.359749], [-88.572623, 14.360512], [-88.545591, 14.384736], [-88.535951, 14.383418], [-88.533398, 14.410156], [-88.528115, 14.421324], [-88.517949, 14.425568]]]}}	 7	 99.4	 
1323	 TALGUA	 LEMPIRA	 5535	 5513	 11048	 98.9486	 {u'geometry': {u'type': u'Polygon', u'coordinates': [[[-88.682588, 14.682171], [-88.691818, 14.656031], [-88.716149, 14.655081], [-88.716021, 14.651405], [-88.732553, 14.645522], [-88.753481, 14.642513], [-88.761232, 14.649066], [-88.775311, 14.651058], [-88.795643, 14.690325], [-88.79474, 14.712109], [-88.786116, 14.717544], [-88.773946, 14.712153], [-88.757241, 14.715259], [-88.744162, 14.708342], [-88.730088, 14.706847], [-88.704949, 14.713493], [-88.690686, 14.711569], [-88.681385, 14.722935], [-88.673861, 14.718723], [-88.668466, 14.721081], [-88.665201, 14.716618], [-88.661843, 14.721778], [-88.657786, 14.720583], [-88.657325, 14.716052], [-88.67182, 14.709583], [-88.667653, 14.691514], [-88.682588, 14.682171]]]}}	 8	 72.4	 
1325	 TOMALA	 LEMPIRA	 3460	 3427	 6886	 108.604	 {u'geometry': {u'type': u'Polygon', u'coordinates': [[[-88.738992, 14.226939], [-88.775585, 14.223531], [-88.792822, 14.232174], [-88.765539, 14.247833], [-88.763252, 14.256599], [-88.788957, 14.281167], [-88.78451, 14.287863], [-88.772369, 14.28854], [-88.728566, 14.263861], [-88.683637, 14.266413], [-88.695009, 14.246228], [-88.695335, 14.238046], [-88.687873, 14.225693], [-88.713924, 14.230793], [-88.724493, 14.222938], [-88.737153, 14.222911], [-88.738992, 14.226939]]]}}	 4	 58.1	 
1327	 VIRGINIA	 LEMPIRA	 1499	 1427	 2927	 71.9047	 {u'geometry': {u'type': u'Polygon', u'coordinates': [[[-88.539573, 14.02233], [-88.520404, 14.012867], [-88.519432, 14.007693], [-88.52576, 14.002383], [-88.526133, 13.985225], [-88.53987, 13.985453], [-88.548408, 13.980421], [-88.556741, 13.983528], [-88.568285, 13.978506], [-88.576738, 13.997137], [-88.586389, 14.007206], [-88.5932, 14.009415], [-88.607176, 14.005383], [-88.616788, 14.013525], [-88.592945, 14.037345], [-88.539573, 14.02233]]]}}	 2	 68.3	 
1328	 SAN MARCOS DE CAIQUIN	 LEMPIRA	 2960	 2727	 5688	 41.8304	 {u'geometry': {u'type': u'Polygon', u'coordinates': [[[-88.547343, 14.425543], [-88.528157, 14.421235], [-88.536263, 14.398172], [-88.533739, 14.385642], [-88.545591, 14.384736], [-88.572623, 14.360512], [-88.585173, 14.359749], [-88.61892, 14.34478], [-88.632321, 14.345171], [-88.642554, 14.335191], [-88.644442, 14.34198], [-88.671409, 14.341625], [-88.676888, 14.355532], [-88.690688, 14.367092], [-88.665599, 14.377701], [-88.653598, 14.372316], [-88.629974, 14.376951], [-88.627324, 14.389377], [-88.619773, 14.398483], [-88.62845, 14.412406], [-88.612003, 14.440048], [-88.547343, 14.425543]]]}}	 1	 17.6	 
1401	 OCOTEPEQUE	 OCOTEPEQUE	 10844	 12114	 22958	 90.8593	 {u'geometry': {u'type': u'Polygon', u'coordinates': [[[-89.211272, 14.385553], [-89.245171, 14.390813], [-89.275984, 14.401196], [-89.299286, 14.416305], [-89.321586, 14.410951], [-89.341966, 14.420031], [-89.355975, 14.420652], [-89.322816, 14.446561], [-89.297456, 14.485899], [-89.253343, 14.45726], [-89.247038, 14.462289], [-89.210767, 14.465002], [-89.205482, 14.444489], [-89.208773, 14.437077], [-89.204612, 14.431117], [-89.187989, 14.440146], [-89.16133, 14.443332], [-89.155456, 14.436528], [-89.133022, 14.430055], [-89.109021, 14.412958], [-89.106871, 14.404575], [-89.101839, 14.404675], [-89.112896, 14.402282], [-89.148364, 14.352986], [-89.168393, 14.366075], [-89.189129, 14.366481], [-89.21141, 14.374116], [-89.211272, 14.385553]]]}}	 8	 34.8	 
1402	 BELEN GUALCHO	 OCOTEPEQUE	 7324	 7077	 14401	 72.5446	 {u'geometry': {u'type': u'Polygon', u'coordinates': [[[-88.820302, 14.42675], [-88.838805, 14.431478], [-88.843551, 14.449867], [-88.837981, 14.463585], [-88.84425, 14.468496], [-88.856077, 14.496475], [-88.848425, 14.500753], [-88.846331, 14.496684], [-88.825052, 14.500598], [-88.830272, 14.511487], [-88.826257, 14.518473], [-88.831449, 14.534164], [-88.825952, 14.537385], [-88.811664, 14.533247], [-88.797623, 14.543916], [-88.777455, 14.549608], [-88.752409, 14.541144], [-88.744712, 14.544618], [-88.72237, 14.544034], [-88.71453, 14.534413], [-88.716254, 14.512205], [-88.734064, 14.474077], [-88.731307, 14.462977], [-88.738791, 14.455281], [-88.736937, 14.441388], [-88.74209, 14.442865], [-88.749914, 14.431871], [-88.796426, 14.413154], [-88.820302, 14.42675]]]}}	 1	 6.9	 
1403	 CONCEPCION	 OCOTEPEQUE	 2728	 2519	 5247	 32.5835	 {u'geometry': {u'type': u'Polygon', u'coordinates': [[[-89.217275, 14.494649], [-89.215271, 14.499139], [-89.226174, 14.505216], [-89.219226, 14.507723], [-89.224842, 14.51539], [-89.240589, 14.52054], [-89.232124, 14.526316], [-89.240932, 14.526442], [-89.240025, 14.533565], [-89.248669, 14.533293], [-89.253641, 14.538073], [-89.252276, 14.543404], [-89.2568, 14.539331], [-89.263479, 14.547816], [-89.257335, 14.559711], [-89.252049, 14.561455], [-89.253614, 14.568399], [-89.248775, 14.575418], [-89.238909, 14.584721], [-89.204011, 14.582788], [-89.193585, 14.575464], [-89.163065, 14.571944], [-89.163262, 14.563218], [-89.157743, 14.561038], [-89.156251, 14.552011], [-89.14242, 14.54968], [-89.168648, 14.526778], [-89.159531, 14.521906], [-89.130097, 14.519033], [-89.139444, 14.510848], [-89.141816, 14.496641], [-89.175559, 14.486362], [-89.179729, 14.490693], [-89.18564, 14.479966], [-89.18353, 14.475786], [-89.194989, 14.476713], [-89.198101, 14.473185], [-89.204053, 14.451922], [-89.213047, 14.466148], [-89.226276, 14.461812], [-89.247038, 14.462289], [-89.26404, 14.470889], [-89.250174, 14.483402], [-89.247346, 14.494673], [-89.22781, 14.490003], [-89.217275, 14.494649]]]}}	 3	 57.2	 
1405	 FRATERNIDAD	 OCOTEPEQUE	 1881	 1816	 3697	 24.2002	 {u'geometry': {u'type': u'Polygon', u'coordinates': [[[-89.069349, 14.644285], [-89.060859, 14.649073], [-89.042256, 14.628659], [-89.029102, 14.639394], [-89.02876, 14.61499], [-89.019387, 14.607973], [-89.021381, 14.593427], [-89.036309, 14.577628], [-89.052079, 14.569463], [-89.04587, 14.56191], [-89.049804, 14.555473], [-89.043702, 14.557016], [-89.043227, 14.549338], [-89.059903, 14.545983], [-89.070598, 14.522431], [-89.094075, 14.518858], [-89.104925, 14.533599], [-89.104032, 14.553074], [-89.120651, 14.565057], [-89.121586, 14.573762], [-89.116008, 14.59835], [-89.106621, 14.605359], [-89.108376, 14.612859], [-89.091517, 14.613373], [-89.083579, 14.618084], [-89.089642, 14.620493], [-89.085397, 14.629418], [-89.080245, 14.636883], [-89.073568, 14.635779], [-89.069349, 14.644285]]]}}	 4	 108.2	 
1406	 LA ENCARNACION	 OCOTEPEQUE	 2274	 2081	 4354	 104.719	 {u'geometry': {u'type': u'Polygon', u'coordinates': [[[-89.055598, 14.654813], [-89.058527, 14.646514], [-89.064587, 14.649068], [-89.073568, 14.635779], [-89.078606, 14.637574], [-89.083186, 14.633452], [-89.103903, 14.661622], [-89.096205, 14.668499], [-89.072422, 14.672984], [-89.053789, 14.683157], [-89.030536, 14.685348], [-89.011161, 14.69315], [-89.002379, 14.677772], [-89.004553, 14.667525], [-88.990986, 14.650667], [-89.012496, 14.6582], [-89.041386, 14.648483], [-89.055598, 14.654813]]]}}	 8	 183.7	 
1407	 LA LABOR	 OCOTEPEQUE	 4562	 4700	 9263	 62.3122	 {u'geometry': {u'type': u'Polygon', u'coordinates': [[[-89.067919, 14.456997], [-89.082641, 14.501052], [-89.084524, 14.519503], [-89.070598, 14.522431], [-89.059903, 14.545983], [-89.043327, 14.549257], [-89.040381, 14.556395], [-89.03376, 14.551698], [-89.02262, 14.554662], [-89.002761, 14.539672], [-88.994168, 14.539836], [-88.998165, 14.519557], [-88.979045, 14.488956], [-88.983792, 14.483414], [-88.972907, 14.480599], [-88.970661, 14.47568], [-89.007122, 14.457194], [-89.017112, 14.456722], [-89.031369, 14.434831], [-89.066498, 14.438972], [-89.067919, 14.456997]]]}}	 5	 54.0	 
